pair,threshold_bps,cost_bps,regime_policy,oos_kind,execution_model,pair_scope,fold_count,insufficient_train_fold_count,total_signal_count,realized_event_count,censored_event_count,censor_rate,event_count,mean_net_bps,median_net_bps,win_rate,mae_bps,mfe_bps,holding_minutes,mean_mae_bps,median_mae_bps,mean_mfe_bps,median_mfe_bps,mean_holding_minutes,median_holding_minutes,capital_occupancy_rate,same_pair_blocked_overlap_signal_count,cross_pair_overlapping_event_count,naive_event_bootstrap_ci_low,naive_event_bootstrap_ci_high,block_bootstrap_ci_low,block_bootstrap_ci_high,bootstrap_mean_ci_low_bps,bootstrap_mean_ci_high_bps,bootstrap_method_primary,bootstrap_confidence_level,bootstrap_samples
binance/hyperliquid,150,20,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,10,9,1,0.1,9,7.973735074855067,3.4622721833721677,0.5555555555555556,-14.80748777123194,34.273728855070715,53.333333333333336,-14.80748777123194,-12.95871920599545,34.273728855070715,23.228485010624578,53.333333333333336,45.0,0.008698365753066498,19,0,-4.460528689608265,22.327510253208683,1.5955695920050958,11.162817816280048,1.5955695920050958,11.162817816280048,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/hyperliquid,150,40,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,10,9,1,0.1,9,-12.026264925144936,-16.537727816627832,0.3333333333333333,-14.80748777123194,34.273728855070715,53.333333333333336,-14.80748777123194,-12.95871920599545,34.273728855070715,23.228485010624578,53.333333333333336,45.0,0.008698365753066498,19,0,-23.578178863057172,1.8355361608673375,-18.404430407994905,-8.837182183719948,-18.404430407994905,-8.837182183719948,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/hyperliquid,150,80,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,10,9,1,0.1,9,-52.026264925144936,-56.537727816627836,0.0,-14.80748777123194,34.273728855070715,53.333333333333336,-14.80748777123194,-12.95871920599545,34.273728855070715,23.228485010624578,53.333333333333336,45.0,0.008698365753066498,19,0,-63.57222013093167,-38.96729592706644,-58.4044304079949,-48.83718218371995,-58.4044304079949,-48.83718218371995,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/hyperliquid,200,20,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,3,3,0,0.0,3,11.36542894440803,5.050588348719536,0.6666666666666666,-5.330351068471757,36.1451173732071,35.0,-5.330351068471757,-5.647811152538207,36.1451173732071,25.050588348719536,35.0,30.0,0.0019018889566740419,1,0,-25.776826901295806,54.82252538580036,-10.363119276288135,54.82252538580036,-10.363119276288135,54.82252538580036,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/hyperliquid,200,40,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,3,3,0,0.0,3,-8.63457105559197,-14.949411651280464,0.3333333333333333,-5.330351068471757,36.1451173732071,35.0,-5.330351068471757,-5.647811152538207,36.1451173732071,25.050588348719536,35.0,30.0,0.0019018889566740419,1,0,-45.776826901295806,34.82252538580036,-30.36311927628813,34.82252538580036,-30.36311927628813,34.82252538580036,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/hyperliquid,200,80,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,3,3,0,0.0,3,-48.63457105559197,-54.949411651280464,0.0,-5.330351068471757,36.1451173732071,35.0,-5.330351068471757,-5.647811152538207,36.1451173732071,25.050588348719536,35.0,30.0,0.0019018889566740419,1,0,-85.7768269012958,-5.177474614199639,-70.36311927628813,-5.177474614199639,-70.36311927628813,-5.177474614199639,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/okx,100,20,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,7,7,0,0.0,7,-17.219961404157036,-20.86531752379433,0.14285714285714285,-16.50159596925224,25.62919361503372,60.0,-16.50159596925224,-5.588967931600131,25.62919361503372,24.398235444920147,60.0,30.0,0.0076075558266961675,17,0,-27.50702440089034,-6.631066456642911,-21.73033842957893,-11.206125370261171,-21.73033842957893,-11.206125370261171,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/okx,100,40,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,7,7,0,0.0,7,-37.21996140415705,-40.86531752379433,0.0,-16.50159596925224,25.62919361503372,60.0,-16.50159596925224,-5.588967931600131,25.62919361503372,24.398235444920147,60.0,30.0,0.0076075558266961675,17,0,-46.94262648247384,-26.527075703057506,-41.73033842957893,-31.206125370261173,-41.73033842957893,-31.206125370261173,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/okx,100,80,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,7,7,0,0.0,7,-77.21996140415705,-80.86531752379433,0.0,-16.50159596925224,25.62919361503372,60.0,-16.50159596925224,-5.588967931600131,25.62919361503372,24.398235444920147,60.0,30.0,0.0076075558266961675,17,0,-87.0721172049696,-66.88714091097707,-81.73033842957892,-71.20612537026118,-81.73033842957892,-71.20612537026118,DAY_BLOCK_BOOTSTRAP,0.95,2000
binance/okx,150,20,NO_GATE_REGIME_FILTER,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,NON_GATE_PAIRS,19,19,2,2,0,0.0,2,-1.2803150123914442,-1.2803150123914442,0.5,3.770212972211695,45.15951758563563,37.5,3.770212972211695,3.770212972211695,45.15951758563563,45.15951758563563,37.5,37.5,0.0013564839934888768,2,0,-28.39477593056383,25.834145905780943,-1.2803150123914442,-1.2803150123914442,-1.2803150123914442,-1.2803150123914442,DAY_BLOCK_BOOTSTRAP,0.95,2000
