fold_id,pair,cost_bps,threshold_bps,train_start,train_end,test_start,test_end,regime_lookback_bars,regime_persistence_ratio,regime_structural_abs_bps,regime_transient_abs_bps,execution_model,selected_on,frozen_during_test
1,hyperliquid/okx,80,200,2026-06-10 06:00:00+00:00,2026-06-17 07:45:00+00:00,2026-06-17 07:45:00+00:00,2026-06-19 08:00:00+00:00,8,0.8,39.48183055946513,39.48183055946513,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,binance/bitget,20,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,26.84043478130593,26.84043478130593,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,binance/bitget,40,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,26.84043478130593,26.84043478130593,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,binance/bitget,80,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,26.84043478130593,26.84043478130593,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,binance/gate,20,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,10.139351165371702,10.139351165371702,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,binance/gate,40,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,10.139351165371702,10.139351165371702,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,binance/gate,80,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,10.139351165371702,10.139351165371702,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,binance/hyperliquid,20,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,53.4417999691689,53.4417999691689,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,binance/hyperliquid,40,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,53.4417999691689,53.4417999691689,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,binance/hyperliquid,80,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,53.4417999691689,53.4417999691689,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,binance/okx,20,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,21.197490434314037,21.197490434314037,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,binance/okx,40,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,21.197490434314037,21.197490434314037,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,binance/okx,80,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,21.197490434314037,21.197490434314037,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,bitget/gate,20,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,25.69848764883811,25.69848764883811,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,bitget/gate,40,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,25.69848764883811,25.69848764883811,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,bitget/gate,80,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,25.69848764883811,25.69848764883811,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,bitget/hyperliquid,20,100,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,76.50371813112716,76.50371813112716,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,bitget/hyperliquid,40,100,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,76.50371813112716,76.50371813112716,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,bitget/hyperliquid,80,100,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,76.50371813112716,76.50371813112716,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,bitget/okx,20,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,44.37292666900355,44.37292666900355,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
2,bitget/okx,40,200,2026-06-12 06:30:00+00:00,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,2026-06-21 08:30:00+00:00,8,0.8,44.37292666900355,44.37292666900355,NEXT_BAR_OPEN_PROXY,TRAIN_ONLY,True
