analysis_scope,execution_model,pair,threshold_bps,cost_bps,event_count_total,realized_event_count,censored_event_count,positive_event_count,win_rate,sum_event_net_bps,mean_event_net_bps,median_event_net_bps,p05_event_net_bps,p95_event_net_bps,mean_holding_minutes,median_holding_minutes,max_holding_minutes,joint_start,joint_end
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/hyperliquid,20,80,194,193,1,0,0.0,-13978.382268578389,-72.42685113253052,-73.60341109631234,-88.2378053820401,-53.79431452760124,242.0984455958549,45.0,4905.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/hyperliquid,50,20,193,193,0,20,0.10362694300518134,-2296.090251022384,-11.896840678872456,-12.545748667059993,-24.920074026488706,4.7416801327658,85.72538860103627,30.0,1860.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/hyperliquid,50,40,193,193,0,1,0.0051813471502590676,-6156.090251022384,-31.896840678872458,-32.545748667059996,-44.920074026488706,-15.2583198672342,85.72538860103627,30.0,1860.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/hyperliquid,50,80,193,193,0,0,0.0,-13876.090251022384,-71.89684067887245,-72.54574866706,-84.9200740264887,-55.2583198672342,85.72538860103627,30.0,1860.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/hyperliquid,100,20,18,18,0,4,0.2222222222222222,-109.64743396782032,-6.091524109323351,-8.819705520710635,-21.22276417588841,10.497605798423187,100.83333333333333,30.0,1035.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/hyperliquid,100,40,18,18,0,0,0.0,-469.64743396782035,-26.091524109323352,-28.819705520710635,-41.222764175888415,-9.502394201576813,100.83333333333333,30.0,1035.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/hyperliquid,100,80,18,18,0,0,0.0,-1189.6474339678205,-66.09152410932336,-68.81970552071064,-81.22276417588841,-49.50239420157681,100.83333333333333,30.0,1035.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/hyperliquid,150,20,9,9,0,5,0.5555555555555556,72.29570510141744,8.032856122379716,3.4622721833721677,-11.584114494329418,41.107592065286376,61.666666666666664,60.0,105.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/hyperliquid,150,40,9,9,0,3,0.3333333333333333,-107.70429489858256,-11.967143877620284,-16.537727816627832,-31.58411449432942,21.107592065286376,61.666666666666664,60.0,105.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/hyperliquid,150,80,9,9,0,0,0.0,-467.7042948985826,-51.96714387762029,-56.537727816627836,-71.58411449432941,-18.892407934713624,61.666666666666664,60.0,105.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/hyperliquid,200,20,3,3,0,2,0.6666666666666666,34.09628683322409,11.36542894440803,5.050588348719536,-22.69408537629427,49.84533168209227,35.0,30.0,45.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/hyperliquid,200,40,3,3,0,1,0.3333333333333333,-25.90371316677591,-8.63457105559197,-14.949411651280464,-42.69408537629427,29.845331682092272,35.0,30.0,45.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/hyperliquid,200,80,3,3,0,0,0.0,-145.9037131667759,-48.63457105559197,-54.949411651280464,-82.69408537629427,-10.154668317907726,35.0,30.0,45.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/okx,20,20,214,214,0,11,0.0514018691588785,-2911.816976036051,-13.606621383346033,-14.480145208017863,-25.43460552559536,0.17993721831990686,64.62616822429906,15.0,1665.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/okx,20,40,214,214,0,3,0.014018691588785047,-7191.816976036051,-33.60662138334603,-34.48014520801786,-45.43460552559536,-19.820062781680093,64.62616822429906,15.0,1665.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/okx,20,80,214,214,0,2,0.009345794392523364,-15751.816976036052,-73.60662138334604,-74.48014520801786,-85.43460552559536,-59.82006278168009,64.62616822429906,15.0,1665.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/okx,50,20,22,22,0,6,0.2727272727272727,-193.05112173649707,-8.775050988022594,-10.640240841362484,-41.900906380173666,27.183122107644504,122.04545454545455,15.0,960.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/okx,50,40,22,22,0,3,0.13636363636363635,-633.0511217364971,-28.775050988022596,-30.640240841362484,-61.900906380173666,7.183122107644503,122.04545454545455,15.0,960.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/okx,50,80,22,22,0,0,0.0,-1513.051121736497,-68.77505098802258,-70.64024084136248,-101.90090638017367,-32.8168778923555,122.04545454545455,15.0,960.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/okx,100,20,7,7,0,1,0.14285714285714285,-120.53972982909926,-17.219961404157036,-20.86531752379433,-34.2053287827394,2.855387656381062,60.0,30.0,195.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/okx,100,40,7,7,0,0,0.0,-260.5397298290993,-37.21996140415705,-40.86531752379433,-54.2053287827394,-17.144612343618938,60.0,30.0,195.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/okx,100,80,7,7,0,0,0.0,-540.5397298290993,-77.21996140415705,-80.86531752379433,-94.2053287827394,-57.14461234361894,60.0,30.0,195.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/okx,150,20,2,2,0,1,0.5,-2.5606300247828884,-1.2803150123914442,-1.2803150123914442,-25.683329838746594,23.122699813963703,37.5,37.5,60.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/okx,150,40,2,2,0,1,0.5,-42.56063002478289,-21.280315012391444,-21.280315012391444,-45.683329838746594,3.122699813963702,37.5,37.5,60.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/okx,150,80,2,2,0,0,0.0,-122.5606300247829,-61.28031501239145,-61.28031501239145,-85.6833298387466,-36.8773001860363,37.5,37.5,60.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/okx,200,20,1,1,0,1,1.0,10.399381464612837,10.399381464612837,10.399381464612837,10.399381464612837,10.399381464612837,45.0,45.0,45.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/okx,200,40,1,1,0,0,0.0,-9.600618535387163,-9.600618535387163,-9.600618535387163,-9.600618535387163,-9.600618535387163,45.0,45.0,45.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/okx,200,80,1,1,0,0,0.0,-49.60061853538716,-49.60061853538716,-49.60061853538716,-49.60061853538716,-49.60061853538716,45.0,45.0,45.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/gate,20,20,191,191,0,27,0.14136125654450263,-2367.069753448579,-12.393035358369524,-12.782310177561467,-35.18138509945198,9.55415126873806,245.34031413612564,30.0,12060.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/gate,20,40,191,191,0,2,0.010471204188481676,-6187.069753448579,-32.393035358369524,-32.78231017756147,-55.18138509945198,-10.44584873126194,245.34031413612564,30.0,12060.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,bitget/gate,20,80,191,191,0,0,0.0,-13827.069753448579,-72.39303535836952,-72.78231017756147,-95.18138509945197,-50.44584873126194,245.34031413612564,30.0,12060.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
