group_type,group_value,population,threshold_bps,event_count_total,event_count_completed,event_count_right_censored,event_count_data_gap_censored,censoring_ratio,min_minutes,p25_minutes,median_minutes,p75_minutes,p90_minutes,p95_minutes,p99_minutes,max_observed_minutes,count_le_5m,ratio_le_5m,count_le_15m,ratio_le_15m,count_le_30m,ratio_le_30m,count_le_60m,ratio_le_60m,count_le_240m,ratio_le_240m,count_gt_240m,ratio_gt_240m,count_gt_1440m,ratio_gt_1440m
START_SESSION,US_PREMARKET,ALL_OBSERVED,20,115,114,1,0,0.008695652173913044,15.0,15.0,45.0,120.0,462.0000000000004,863.9999999999999,1069.5,2685.0,0,0.0,40,0.34782608695652173,51,0.4434782608695652,64,0.5565217391304348,94,0.8173913043478261,21,0.1826086956521739,1,0.008695652173913044
START_SESSION,US_REGULAR,ALL_OBSERVED,20,194,194,0,0,0.0,15.0,15.0,45.0,150.0,621.0000000000005,780.7499999999998,4361.849999999949,15180.0,0,0.0,62,0.31958762886597936,95,0.4896907216494845,124,0.6391752577319587,161,0.8298969072164949,33,0.17010309278350516,7,0.03608247422680412
START_REGIME,GATE_REGIME_20260716_19,ALL_OBSERVED,20,58,58,0,0,0.0,15.0,15.0,52.5,266.25,1083.000000000001,1470.7499999999998,2316.9,2505.0,0,0.0,21,0.3620689655172414,25,0.43103448275862066,30,0.5172413793103449,41,0.7068965517241379,17,0.29310344827586204,4,0.06896551724137931
START_REGIME,POST_GATE_REGIME,ALL_OBSERVED,20,129,123,6,0,0.046511627906976744,15.0,15.0,45.0,120.0,372.00000000000017,551.9999999999998,1136.9999999999998,1410.0,0,0.0,43,0.3333333333333333,58,0.4496124031007752,77,0.5968992248062015,108,0.8372093023255814,21,0.16279069767441862,0,0.0
START_REGIME,PRE_GATE_REGIME,ALL_OBSERVED,20,935,935,0,0,0.0,15.0,15.0,45.0,165.0,663.0000000000007,1339.4999999999993,10129.8,24390.0,0,0.0,327,0.3497326203208556,430,0.45989304812834225,569,0.6085561497326203,758,0.8106951871657754,177,0.1893048128342246,42,0.044919786096256686
PAIR_REGIME,binance/bitget|GATE_REGIME_20260716_19,ALL_OBSERVED,20,5,5,0,0,0.0,15.0,15.0,30.0,120.0,174.0,192.0,206.4,210.0,0,0.0,2,0.4,3,0.6,3,0.6,5,1.0,0,0.0,0,0.0
PAIR_REGIME,binance/bitget|POST_GATE_REGIME,ALL_OBSERVED,20,13,13,0,0,0.0,15.0,30.0,60.0,120.0,144.00000000000003,233.99999999999972,334.7999999999998,360.0,0,0.0,3,0.23076923076923078,4,0.3076923076923077,7,0.5384615384615384,12,0.9230769230769231,1,0.07692307692307693,0,0.0
PAIR_REGIME,binance/bitget|PRE_GATE_REGIME,ALL_OBSERVED,20,131,131,0,0,0.0,15.0,15.0,30.0,120.0,285.0,735.0,3512.99999999997,9450.0,0,0.0,50,0.3816793893129771,66,0.5038167938931297,85,0.648854961832061,114,0.8702290076335878,17,0.1297709923664122,4,0.030534351145038167
PAIR_REGIME,binance/gate|GATE_REGIME_20260716_19,ALL_OBSERVED,20,8,8,0,0,0.0,15.0,26.25,45.0,101.25,463.49999999999983,846.7499999999994,1153.3499999999997,1230.0,0,0.0,2,0.25,3,0.375,5,0.625,7,0.875,1,0.125,0,0.0
PAIR_REGIME,binance/gate|POST_GATE_REGIME,ALL_OBSERVED,20,6,6,0,0,0.0,15.0,15.0,15.0,26.25,75.0,97.5,115.50000000000001,120.0,0,0.0,4,0.6666666666666666,5,0.8333333333333334,5,0.8333333333333334,6,1.0,0,0.0,0,0.0
PAIR_REGIME,binance/gate|PRE_GATE_REGIME,ALL_OBSERVED,20,43,43,0,0,0.0,15.0,15.0,15.0,45.0,135.0,1219.4999999999984,17688.29999999999,20895.0,0,0.0,26,0.6046511627906976,30,0.6976744186046512,36,0.8372093023255814,40,0.9302325581395349,3,0.06976744186046512,2,0.046511627906976744
PAIR_REGIME,binance/hyperliquid|GATE_REGIME_20260716_19,ALL_OBSERVED,20,13,13,0,0,0.0,15.0,15.0,45.0,300.0,936.0000000000003,1481.9999999999984,2036.3999999999987,2175.0,0,0.0,5,0.38461538461538464,6,0.46153846153846156,7,0.5384615384615384,7,0.5384615384615384,6,0.46153846153846156,1,0.07692307692307693
PAIR_REGIME,binance/hyperliquid|POST_GATE_REGIME,ALL_OBSERVED,20,19,19,0,0,0.0,15.0,30.0,75.0,142.5,371.99999999999994,430.4999999999998,506.1,525.0,0,0.0,4,0.21052631578947367,6,0.3157894736842105,7,0.3684210526315789,16,0.8421052631578947,3,0.15789473684210525,0,0.0
PAIR_REGIME,binance/hyperliquid|PRE_GATE_REGIME,ALL_OBSERVED,20,111,111,0,0,0.0,15.0,15.0,45.0,315.0,1080.0,1380.0,4174.500000000003,6315.0,0,0.0,31,0.27927927927927926,47,0.42342342342342343,65,0.5855855855855856,81,0.7297297297297297,30,0.2702702702702703,5,0.04504504504504504
PAIR_REGIME,binance/okx|GATE_REGIME_20260716_19,ALL_OBSERVED,20,9,9,0,0,0.0,15.0,90.0,135.0,195.0,657.0,681.0,700.2,705.0,0,0.0,2,0.2222222222222222,2,0.2222222222222222,2,0.2222222222222222,7,0.7777777777777778,2,0.2222222222222222,0,0.0
PAIR_REGIME,binance/okx|POST_GATE_REGIME,ALL_OBSERVED,20,8,7,1,0,0.125,15.0,15.0,15.0,30.0,30.0,30.0,30.0,30.0,0,0.0,5,0.625,8,1.0,8,1.0,8,1.0,0,0.0,0,0.0
