change_time,pre_median_bps,post_median_bps,median_shift_bps,pre_p95_abs_bps,post_p95_abs_bps,confidence_metric,method,analysis_scope,uses_pre_and_post_windows,uses_full_sample,strategy_eligible
2026-07-16 20:00:00+00:00,170.28209961343038,108.46676808567234,-61.81533152775803,178.26324630756656,179.99625691399245,58.60828222657796,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-16 08:00:00+00:00,165.44279571097843,168.21602478973068,2.7732290787522516,176.25877918128688,180.39143295117864,58.33177435226744,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-26 13:00:00+00:00,168.18340126071146,134.8174419343481,-33.36595932636337,198.6335366831071,167.23817982442338,56.16384341869956,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-09 20:00:00+00:00,154.33810590031678,190.6779661016946,36.33986020137783,180.4039071278382,210.4042729738377,55.94357511625275,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-25 13:00:00+00:00,139.8336914098403,168.18340126071146,28.349709850871164,207.2116908916638,198.6335366831071,54.47610638172393,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-26 01:00:00+00:00,168.6210106800281,154.62903089769182,-13.991979782336273,207.2116908916638,198.6335366831071,53.94170375426599,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-01 23:15:00+00:00,139.71983514026306,90.12710842759766,-49.592726712665396,164.9735137254068,158.70943885271777,44.82463812132303,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-15 20:00:00+00:00,159.92760129808696,170.28209961343038,10.35449831534342,202.6657582003183,178.26324630756656,44.164245190344175,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-30 01:00:00+00:00,162.92038708816867,59.034209494143504,-103.88617759402516,268.0941264978159,146.39582831887174,44.058632432573674,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-14 20:00:00+00:00,144.88641737123731,159.92760129808696,15.04118392684964,173.08839805846733,202.6657582003183,43.1118257598203,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-28 13:00:00+00:00,143.3301582981823,160.6850932869475,17.354934988765194,162.14914826858723,268.0941264978159,42.07378310382272,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-29 01:00:00+00:00,143.27343370568255,162.92038708816867,19.646953382486117,163.32719391250123,268.0941264978159,40.34229424060296,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-08 20:00:00+00:00,120.85994773219188,154.33810590031678,33.47815816812489,186.03550172880486,180.4039071278382,39.34645062785496,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-09 08:00:00+00:00,140.48419988496394,171.9331005139895,31.44890062902556,186.03550172880486,200.31209331173312,39.02985238471793,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-27 01:00:00+00:00,154.62903089769182,133.7477842563134,-20.881246641378425,198.6335366831071,158.65867758390073,38.45459765166166,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-14 08:00:00+00:00,149.1430884079508,164.04281553224598,14.899727124295168,260.70137494687077,202.6657582003183,37.092071866963565,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-27 13:00:00+00:00,134.8174419343481,143.3301582981823,8.512716363834215,167.23817982442338,162.14914826858723,36.8454538859798,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-17 08:00:00+00:00,168.21602478973068,41.907837109047186,-126.30818768068349,180.39143295117864,114.2578976656421,36.74199010844538,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-28 01:00:00+00:00,133.7477842563134,143.27343370568255,9.525649449369155,158.65867758390073,163.32719391250123,35.17272421666764,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-02 11:15:00+00:00,134.49329884787096,56.19130520937316,-78.3019936384978,167.85227661783,98.22039275828269,21.502364845257,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-25 01:00:00+00:00,102.5946847339326,168.6210106800281,66.0263259460955,181.51759842657071,207.2116908916638,21.30056468076932,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-07 18:00:00+00:00,74.79088759492076,117.73646376094956,42.9455761660288,132.97943688581,153.88808756083154,20.593837124294236,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-24 06:15:00+00:00,70.9591249551354,114.11682607446332,43.157701119327925,174.93699213579742,207.2116908916638,20.43212523511717,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-01 11:15:00+00:00,65.90865956969603,134.49329884787096,68.58463927817493,151.17236896599422,167.85227661783,20.257726132443114,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-08 08:00:00+00:00,109.91178057742209,140.48419988496394,30.57241930754185,140.15720719240016,186.03550172880486,20.190290695312374,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-16 19:00:00+00:00,2.528125395020168,1.6201698685792414,-0.9079555264409265,17.866680592899794,18.62241638373945,20.165764744768847,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-20 07:45:00+00:00,6.024591286250987,4.637216003085051,-1.3873752831659365,15.01996684994518,13.897883253200446,20.156733135135347,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-22 10:00:00+00:00,4.951981582843252,8.091052687182568,3.1390711043393162,20.1083937793994,93.50290614968775,20.10839554359021,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-13 15:15:00+00:00,0.0,-1.9292882589501588,-1.9292882589501588,11.734928424381536,11.813345470352221,20.099376522400227,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-14 17:45:00+00:00,-1.4692034913619336,5.559585012124949,7.028788503486883,13.103457362288102,14.452252781236957,20.08992066397538,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-12 05:15:00+00:00,6.789138837889699,1.62680982593141,-5.162329011958289,21.59373605971349,17.39408531536295,20.064564529978774,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-07-23 03:30:00+00:00,2.8518917548632667,-3.4458185727334154,-6.297710327596683,10.470606729265059,15.223449868014251,20.025140727039183,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
2026-06-18 14:15:00+00:00,5.326530326180151,0.8161821718612542,-4.510348154318897,16.26186800055513,21.557445522773254,20.02360318323432,robust_cusum,RETROSPECTIVE_CHANGE_POINTS,True,True,False
