rank,base_event_id,pair,event_start,event_end,duration_observed_minutes,status,peak_abs_spread_bps,start_session,start_regime,higher_exchange_at_peak,lower_exchange_at_peak,warning
16,BE-7ac6c99c3c5aec8e306d,binance/hyperliquid,2026-07-10 15:30:00+00:00,2026-07-15 00:30:00+00:00,6315,COMPLETED,234.35921610882818,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME,binance,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
17,BE-6f773b23225894a477fb,bitget/okx,2026-06-12 16:15:00+00:00,2026-06-16 07:00:00+00:00,5220,COMPLETED,72.00981232607568,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
18,BE-4d3e5985e18e8c404b7b,gate/hyperliquid,2026-06-12 05:45:00+00:00,2026-06-15 07:00:00+00:00,4410,COMPLETED,105.69427929713305,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,gate,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
19,BE-be534ebcf072009d9554,bitget/gate,2026-06-18 23:15:00+00:00,2026-06-21 23:30:00+00:00,4350,COMPLETED,70.8989893760507,US_AFTER_HOURS,PRE_GATE_REGIME,bitget,gate,historical_mark_trade_proxy_not_executable_BBO
20,BE-7c4ade70a8573cc1be11,binance/bitget,2026-06-18 23:30:00+00:00,2026-06-21 23:00:00+00:00,4305,COMPLETED,72.61772254857804,US_AFTER_HOURS,PRE_GATE_REGIME,bitget,binance,historical_mark_trade_proxy_not_executable_BBO
21,BE-f9f7316910d76cf38d31,binance/hyperliquid,2026-06-12 06:15:00+00:00,2026-06-15 04:30:00+00:00,4230,COMPLETED,90.83276590399763,PRE_CLOSE_BASELINE,PRE_GATE_REGIME,binance,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
22,BE-4381b36491e07a04fa70,bitget/gate,2026-07-03 07:45:00+00:00,2026-07-06 00:00:00+00:00,3870,COMPLETED,80.73711133709229,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,gate,bitget,historical_mark_trade_proxy_not_executable_BBO
23,BE-5b7773fd1745c3f3b564,bitget/hyperliquid,2026-06-26 13:30:00+00:00,2026-06-29 05:15:00+00:00,3840,COMPLETED,106.20075368276885,US_REGULAR,PRE_GATE_REGIME,bitget,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
24,BE-61e990164e67c57fe679,bitget/hyperliquid,2026-07-03 13:30:00+00:00,2026-07-06 03:45:00+00:00,3750,COMPLETED,67.89222109900601,US_REGULAR,PRE_GATE_REGIME,bitget,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
25,BE-81ebb5ccb590a4062dc4,binance/hyperliquid,2026-07-03 13:45:00+00:00,2026-07-06 02:45:00+00:00,3675,COMPLETED,58.25070198403199,US_REGULAR,PRE_GATE_REGIME,binance,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
