group_type,group_value,threshold_bps,target_bps,horizon_minutes,event_count_total,hit_count,naive_hit_rate,eligible_event_count,completed_event_count,censored_event_count,observed_rate_complete_cases,rate_note
START_REGIME,PRE_GATE_REGIME,20,10,5,3248,613,0.18873152709359606,3248,3248,0,0.18873152709359606,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,10,15,3248,1138,0.3503694581280788,3248,3248,0,0.3503694581280788,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,10,30,3248,1523,0.4689039408866995,3248,3248,0,0.4689039408866995,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,10,60,3248,1930,0.5942118226600985,3248,3248,0,0.5942118226600985,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,10,240,3248,2652,0.8165024630541872,3248,3248,0,0.8165024630541872,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,10,1440,3248,3116,0.9593596059113301,3248,3248,0,0.9593596059113301,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,0,5,3248,152,0.046798029556650245,3248,3248,0,0.046798029556650245,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,0,15,3248,345,0.1062192118226601,3248,3248,0,0.1062192118226601,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,0,30,3248,566,0.17426108374384236,3248,3248,0,0.17426108374384236,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,0,60,3248,858,0.2641625615763547,3248,3248,0,0.2641625615763547,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,0,240,3248,1624,0.5,3248,3248,0,0.5,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
START_REGIME,PRE_GATE_REGIME,20,0,1440,3248,2774,0.854064039408867,3248,3248,0,0.854064039408867,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
