pair,strategy_direction,entry_threshold_bps,exit_rule,event_count,median_gross_bps,max_drawdown_proxy_bps,positive_event_count_10bps,positive_event_ratio_10bps,median_net_10bps,p05_net_10bps,p95_net_10bps,positive_event_count_20bps,positive_event_ratio_20bps,median_net_20bps,p05_net_20bps,p95_net_20bps,positive_event_count_40bps,positive_event_ratio_40bps,median_net_40bps,p05_net_40bps,p95_net_40bps,positive_event_count_80bps,positive_event_ratio_80bps,median_net_80bps,p05_net_80bps,p95_net_80bps,positive_event_count_120bps,positive_event_ratio_120bps,median_net_120bps,p05_net_120bps,p95_net_120bps
binance/bitget,funding_optimal_trailing_24h,100,hold_72h,27,-39.1048395552904,342.7287705039266,12,0.4444444444444444,-49.1048395552904,-79.19078138139668,129.72207413650432,12,0.4444444444444444,-59.1048395552904,-89.19078138139668,119.72207413650433,12,0.4444444444444444,-79.1048395552904,-109.19078138139668,99.72207413650433,5,0.18518518518518517,-119.1048395552904,-149.19078138139668,59.72207413650433,2,0.07407407407407407,-159.1048395552904,-189.19078138139668,19.722074136504332
binance/bitget,funding_optimal_trailing_24h,100,hold_8h,27,-2.882920584763127,315.94698201166096,8,0.2962962962962963,-12.882920584763127,-101.39343087092533,121.6773307177806,8,0.2962962962962963,-22.882920584763127,-111.39343087092533,111.6773307177806,3,0.1111111111111111,-42.88292058476313,-131.39343087092533,91.6773307177806,2,0.07407407407407407,-82.88292058476313,-171.39343087092533,51.677330717780606,2,0.07407407407407407,-122.88292058476313,-211.39343087092533,11.67733071778061
binance/bitget,funding_optimal_trailing_24h,100,next_krx_open,27,7.406044181385845,315.94698201166096,13,0.48148148148148145,-2.5939558186141554,-106.7687159510629,109.3464904700826,6,0.2222222222222222,-12.593955818614155,-116.7687159510629,99.3464904700826,3,0.1111111111111111,-32.593955818614155,-136.76871595106292,79.3464904700826,2,0.07407407407407407,-72.59395581861415,-176.76871595106292,39.3464904700826,2,0.07407407407407407,-112.59395581861415,-216.76871595106292,-0.6535095299174039
binance/bitget,funding_optimal_trailing_24h,100,stop_100bps,7,-110.27545478480687,153.26869710592626,0,0.0,-120.27545478480687,-168.050018845629,-99.61003583143469,0,0.0,-130.27545478480687,-178.050018845629,-109.61003583143469,0,0.0,-150.27545478480687,-198.050018845629,-129.6100358314347,0,0.0,-190.27545478480687,-238.050018845629,-169.6100358314347,0,0.0,-230.27545478480687,-278.05001884562904,-209.6100358314347
binance/bitget,funding_optimal_trailing_24h,100,stop_50bps,16,-63.720130404896864,83.07911501228833,0,0.0,-73.72013040489686,-98.04861504570499,-60.31590151096731,0,0.0,-83.72013040489686,-108.04861504570499,-70.31590151096731,0,0.0,-103.72013040489686,-128.048615045705,-90.31590151096731,0,0.0,-143.72013040489685,-168.048615045705,-130.3159015109673,0,0.0,-183.72013040489685,-208.048615045705,-170.3159015109673
binance/bitget,funding_optimal_trailing_24h,100,target_10bps,8,-90.87763908137232,153.88429763531144,3,0.375,-100.87763908137232,-124.99966303031813,149.4740119004325,3,0.375,-110.87763908137232,-134.99966303031815,139.4740119004325,3,0.375,-130.8776390813723,-154.99966303031815,119.4740119004325,3,0.375,-170.8776390813723,-194.99966303031815,79.4740119004325,1,0.125,-210.8776390813723,-234.99966303031815,39.4740119004325
binance/bitget,funding_optimal_trailing_24h,100,target_20bps,27,-32.03800875180709,208.4179985991177,13,0.48148148148148145,-42.03800875180709,-108.04162681101066,105.11781994949884,13,0.48148148148148145,-52.03800875180709,-118.04162681101066,95.11781994949884,11,0.4074074074074074,-72.0380087518071,-138.04162681101067,75.11781994949884,3,0.1111111111111111,-112.0380087518071,-178.04162681101067,35.117819949498845,2,0.07407407407407407,-152.0380087518071,-218.04162681101067,-4.882180050501157
binance/bitget,funding_optimal_trailing_24h,150,hold_1h,9,-121.84020871708454,182.48092517494746,3,0.3333333333333333,-131.84020871708452,-145.18634584149126,144.46848561417306,3,0.3333333333333333,-141.84020871708452,-155.18634584149126,134.46848561417306,3,0.3333333333333333,-161.84020871708452,-175.18634584149126,114.46848561417306,1,0.1111111111111111,-201.84020871708452,-215.18634584149126,74.46848561417306,1,0.1111111111111111,-241.84020871708452,-255.18634584149126,34.46848561417307
binance/bitget,funding_optimal_trailing_24h,150,hold_24h,9,-115.90451353908296,219.98431573616952,3,0.3333333333333333,-125.90451353908296,-140.27453638656223,164.77447575495904,3,0.3333333333333333,-135.90451353908296,-150.27453638656223,154.77447575495904,3,0.3333333333333333,-155.90451353908296,-170.27453638656223,134.77447575495904,3,0.3333333333333333,-195.90451353908296,-210.27453638656223,94.77447575495904,1,0.1111111111111111,-235.90451353908296,-250.27453638656223,54.774475754959035
binance/bitget,funding_optimal_trailing_24h,150,hold_4h,9,-84.35742651197921,182.48092517494746,3,0.3333333333333333,-94.35742651197921,-131.2318267438955,147.41632657827324,3,0.3333333333333333,-104.35742651197921,-141.2318267438955,137.41632657827324,2,0.2222222222222222,-124.35742651197921,-161.2318267438955,117.41632657827324,1,0.1111111111111111,-164.3574265119792,-201.2318267438955,77.41632657827324,1,0.1111111111111111,-204.3574265119792,-241.2318267438955,37.41632657827324
binance/bitget,funding_optimal_trailing_24h,150,hold_72h,9,-112.24847012946373,219.98431573616952,3,0.3333333333333333,-122.24847012946373,-150.47775468027615,179.73413107846713,3,0.3333333333333333,-132.24847012946373,-160.47775468027615,169.73413107846713,3,0.3333333333333333,-152.24847012946373,-180.47775468027615,149.73413107846713,3,0.3333333333333333,-192.24847012946373,-220.47775468027615,109.73413107846713,2,0.2222222222222222,-232.24847012946373,-260.4777546802761,69.73413107846713
binance/bitget,funding_optimal_trailing_24h,150,hold_8h,9,-111.22526878844428,182.48092517494746,3,0.3333333333333333,-121.22526878844428,-137.296153930382,153.55609954848921,3,0.3333333333333333,-131.22526878844428,-147.296153930382,143.55609954848921,3,0.3333333333333333,-151.22526878844428,-167.296153930382,123.55609954848921,1,0.1111111111111111,-191.22526878844428,-207.296153930382,83.55609954848921,1,0.1111111111111111,-231.22526878844428,-247.296153930382,43.556099548489215
binance/bitget,funding_optimal_trailing_24h,150,next_krx_open,9,-130.07822500905303,182.48092517494746,3,0.3333333333333333,-140.07822500905303,-151.56610265000194,143.79312650539276,3,0.3333333333333333,-150.07822500905303,-161.56610265000194,133.79312650539276,3,0.3333333333333333,-170.07822500905303,-181.56610265000194,113.79312650539276,1,0.1111111111111111,-210.07822500905303,-221.56610265000194,73.79312650539276,1,0.1111111111111111,-250.07822500905303,-261.566102650002,33.79312650539277
binance/bitget,funding_optimal_trailing_24h,150,stop_100bps,7,-122.60116002639094,136.14352011335097,0,0.0,-132.60116002639094,-143.8044183688146,-129.7484564875407,0,0.0,-142.60116002639094,-153.8044183688146,-139.7484564875407,0,0.0,-162.60116002639094,-173.8044183688146,-159.7484564875407,0,0.0,-202.60116002639094,-213.8044183688146,-199.7484564875407,0,0.0,-242.60116002639094,-253.8044183688146,-239.7484564875407
binance/bitget,funding_optimal_trailing_24h,150,stop_50bps,7,-118.98200634804945,128.34651429822975,0,0.0,-128.98200634804945,-136.5590515650887,-67.95118191331593,0,0.0,-138.98200634804945,-146.5590515650887,-77.95118191331593,0,0.0,-158.98200634804945,-166.5590515650887,-97.95118191331593,0,0.0,-198.98200634804945,-206.5590515650887,-137.95118191331593,0,0.0,-238.98200634804945,-246.5590515650887,-177.95118191331593
binance/bitget,funding_optimal_trailing_24h,150,target_10bps,7,-144.14172526754757,180.08994019313894,1,0.14285714285714285,-154.14172526754757,-165.55783844860255,76.95682539216294,1,0.14285714285714285,-164.14172526754757,-175.55783844860255,66.95682539216294,1,0.14285714285714285,-184.14172526754757,-195.55783844860255,46.95682539216294,1,0.14285714285714285,-224.14172526754757,-235.55783844860255,6.956825392162941,1,0.14285714285714285,-264.1417252675476,-275.5578384486025,-33.04317460783706
