timestamp,gate_trade,gate_mark,gate_index,comparison_exchange,comparison_price,spread_bps,gate_volume,gate_raw_source_file,comparison_raw_source_file,warning_flags
2026-07-19 23:54:00+00:00,1175.3,1175.2,1173.61,binance,1171.89,28.20513912973039,83465.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-19 23:55:00+00:00,1178.8,1178.0,1176.32,binance,1175.02,25.329151473425796,62566.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-19 23:56:00+00:00,1177.1,1176.8,1175.21,binance,1173.69,26.462567379566817,40724.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-19 23:57:00+00:00,1176.5,1176.5,1174.96,binance,1173.80248442,22.95462475899783,51875.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-19 23:58:00+00:00,1178.3,1177.7,1176.0,binance,1175.48877142,18.793465333984134,35483.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-19 23:59:00+00:00,1177.7,1177.1,1176.3,binance,1174.85706611,19.072915252739595,43422.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-20 00:00:00+00:00,1183.3,1180.1,1177.61,binance,1179.03,9.071140632351216,332223.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-20 00:01:00+00:00,1188.4,1184.9,1181.58,binance,1185.30896376,-3.450866706294478,214480.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-20 00:02:00+00:00,1208.5,1206.6,1202.06,binance,1204.46,17.751528373411467,591180.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
2026-07-20 00:03:00+00:00,1202.1,1201.3,1195.98,binance,1194.52818934,56.53001905671308,659854.0,data/raw/gate/b1f66210cdc9a0a8f66f14bd97387372830dc8bb7b6620a1c24ff00c4edb951b.json,data/raw/binance/47c17b6fc4896a9b9ce8023532638b1082d23ffa7eeba7ee9e669786956b9338.json,
