pair,exchange_A,exchange_B,session,pair_price_start,pair_price_end,calendar_minutes,valid_common_minutes,coverage_vs_pair_window_percent,coverage_vs_requested_period_percent,comparison_quality,mean_bps,median_bps,std_bps,p05_bps,p25_bps,p75_bps,p95_bps,p99_bps,mean_abs_bps,p95_abs_bps,p99_abs_bps,max_abs_bps,requested_start,actual_data_start
gate/hyperliquid,gate,hyperliquid,ALL,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,5300,5300,100.0,8.537921257813004,historical_proxy_spread_bps,30.05637239810588,27.41518430026241,15.531329510417043,10.325954568699425,20.49463060960905,35.82760416781493,66.25154677235811,80.64868568927321,30.06754485021424,66.25154677235811,80.64868568927321,100.24007075769585,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
gate/hyperliquid,gate,hyperliquid,PRE_CLOSE_BASELINE,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,5300,160,3.018867924528302,0.2577485662736001,historical_proxy_spread_bps,27.136416454031423,26.545332463085696,6.940196359847159,16.635296572685924,22.9881887720271,30.411683824574144,37.1482302286756,47.66036747312344,27.136416454031423,37.1482302286756,47.66036747312344,50.36091992613731,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
gate/hyperliquid,gate,hyperliquid,AFTER_CLOSE_ALL,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,5300,3740,70.56603773584905,6.024872736645403,historical_proxy_spread_bps,32.59762533438759,29.19705015364155,16.513115699338044,11.55763965962231,22.883536010921087,37.77909418271639,68.86184810914736,83.50766717811912,32.61008114820261,68.86184810914736,83.50766717811912,100.24007075769585,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
gate/hyperliquid,gate,hyperliquid,KRX_OFFICIAL_AFTER_HOURS,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,5300,525,9.90566037735849,0.8457374830852503,historical_proxy_spread_bps,33.21865883953111,32.90014805066623,7.772553056983792,21.47402348281489,26.80753764882197,39.33910306845004,45.887438964959145,48.32319117926699,33.21865883953111,45.887438964959145,48.32319117926699,51.57962604771189,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
gate/hyperliquid,gate,hyperliquid,KRX_FULLY_CLOSED,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,5300,3175,59.905660377358494,5.114698111991752,historical_proxy_spread_bps,32.530578730641444,28.521628901916564,17.61905568045497,10.703112516512316,22.01565561389357,37.2323921811973,70.50114574791198,84.49325938928851,32.5452510908519,70.50114574791198,84.49325938928851,100.24007075769585,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
gate/hyperliquid,gate,hyperliquid,KRX_HOLIDAY_OR_WEEKEND,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,5300,0,0.0,0.0,historical_proxy_spread_bps,,,,,,,,,,,,,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
gate/okx,gate,okx,ALL,2026-07-16 18:34:00+00:00,2026-07-23 07:04:00+00:00,9390,9390,100.0,15.126618983181906,mark_spread_bps,41.63714661220999,24.085911821270784,47.0461809738755,5.12274110128533,14.888753387800136,41.59812598907119,157.52887649115343,201.14579556458892,41.76836117927702,157.52887649115343,201.14579556458892,207.6481374452712,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
gate/okx,gate,okx,PRE_CLOSE_BASELINE,2026-07-16 18:34:00+00:00,2026-07-23 07:04:00+00:00,9390,200,2.1299254526091587,0.3221857078420001,mark_spread_bps,36.21209135315159,15.63284266100722,48.025339063145616,-0.4795387438387669,10.010937790753191,24.031891146873143,134.47056039083668,138.4649461852685,36.8527976391639,134.47056039083668,138.4649461852685,139.77540731765447,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
gate/okx,gate,okx,AFTER_CLOSE_ALL,2026-07-16 18:34:00+00:00,2026-07-23 07:04:00+00:00,9390,4560,48.56230031948882,7.345834138797603,mark_spread_bps,42.547332597729365,19.20030614722432,54.13945737039664,5.653298948209529,13.17888441497583,37.50639729975446,197.03436668671824,203.27130076957596,42.59453670008807,197.03436668671824,203.27130076957596,207.6481374452712,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
gate/okx,gate,okx,KRX_OFFICIAL_AFTER_HOURS,2026-07-16 18:34:00+00:00,2026-07-23 07:04:00+00:00,9390,584,6.219382321618744,0.9407822668986404,mark_spread_bps,41.4244665993205,18.202600946536755,46.32059803840742,4.615910657998585,13.832365967160168,26.65352641215303,129.19197392291892,136.08988294238569,41.44056442925262,129.19197392291892,136.08988294238569,144.49381820380293,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
gate/okx,gate,okx,KRX_FULLY_CLOSED,2026-07-16 18:34:00+00:00,2026-07-23 07:04:00+00:00,9390,3926,41.81043663471778,6.324505444938462,mark_spread_bps,42.79311459198626,19.40457784921316,55.26998177772369,5.880946526079328,13.049317259385134,37.8079846440488,198.2923175210269,203.5083335927924,42.8438746937934,198.2923175210269,203.5083335927924,207.6481374452712,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
gate/okx,gate,okx,KRX_HOLIDAY_OR_WEEKEND,2026-07-16 18:34:00+00:00,2026-07-23 07:04:00+00:00,9390,2880,30.670926517571885,4.639474192924802,mark_spread_bps,40.18277151988938,34.31205147431916,21.89747188346988,20.582427206139847,25.867118970511022,44.97548476953554,99.66666015934804,114.90453066069146,40.1848296121907,99.66666015934804,114.90453066069146,129.01291378455932,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
hyperliquid/okx,hyperliquid,okx,ALL,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,5219,5219,100.0,8.407436046136993,historical_proxy_spread_bps,-12.687000688614049,-11.748456030609637,10.43661853464224,-30.276544804206864,-20.082030132307267,-4.959800930092612,2.6698936386096714,8.50540432487548,13.437333027898886,30.276544804206857,38.22988919875958,53.25349399364387,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
hyperliquid/okx,hyperliquid,okx,PRE_CLOSE_BASELINE,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,5219,160,3.065721402567542,0.2577485662736001,historical_proxy_spread_bps,-14.542733840178656,-14.026276368192937,9.620521213653388,-30.437056252997124,-21.0568369190001,-7.013691104886469,-1.1376737541973714,1.835391080985617,14.65131391427936,30.43705625299712,34.2185607084567,39.29588195196352,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
hyperliquid/okx,hyperliquid,okx,AFTER_CLOSE_ALL,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,5219,3659,70.10921632496647,5.894387524969392,historical_proxy_spread_bps,-14.076615231259368,-13.53049193002854,9.956932572960882,-30.38407620175057,-21.276423102605868,-6.243097056976929,0.8992770501072062,5.628555847806194,14.466001781855374,30.38407620175057,36.1384548932554,52.01472624717005,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
hyperliquid/okx,hyperliquid,okx,KRX_OFFICIAL_AFTER_HOURS,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,5219,444,8.507376892124928,0.7152522714092403,historical_proxy_spread_bps,-17.84655799659365,-18.19736625057408,7.790487817117293,-29.906998984870388,-23.53658978862022,-11.954395542534543,-4.471206599133893,-1.933871248050636,17.846916551272646,29.906998984870388,32.1403810528163,35.90548904159677,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
hyperliquid/okx,hyperliquid,okx,KRX_FULLY_CLOSED,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,5219,3175,60.83540908219965,5.114698111991752,historical_proxy_spread_bps,-13.50452606666536,-12.73952539182288,10.112419199883984,-30.468964795687697,-20.840457078309825,-5.534878492195849,1.3394543746194445,6.003575318585385,13.953220929768769,30.468964795687697,37.19744662172813,52.01472624717005,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
hyperliquid/okx,hyperliquid,okx,KRX_HOLIDAY_OR_WEEKEND,2026-07-19 16:05:00+00:00,2026-07-23 07:04:00+00:00,5219,0,0.0,0.0,historical_proxy_spread_bps,,,,,,,,,,,,,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
