pair,session,count,mean_abs_spread_bps,median_abs_spread_bps,p95_abs_spread_bps,p99_abs_spread_bps,max_abs_spread_bps,event_count,median_duration_minutes,p95_duration_minutes,convergence_probability_1h,convergence_probability_4h,convergence_probability_24h,combined_strategy_pnl
binance/gate,US_REGULAR,1346,21.673698493421565,7.226034696995159,169.8735890591566,177.22754933090857,182.00349613589276,14.0,155.5,1495.0,0.5,0.5,0.7142857142857143,1031.135160663045
binance/hyperliquid,KRX_CLOSE_TRANSITION,40,24.897969856536218,27.27570452318911,36.35166107930126,41.14476037875319,43.39492538179483,1.0,1.0,1.0,1.0,1.0,1.0,2.5289444150478495
binance/hyperliquid,KRX_FULLY_CLOSED_PRE_US,2685,23.6214061282944,19.926827398984518,50.35301711282039,60.40245637910392,111.94326554994065,103.0,2.0,212.29999999999995,0.8446601941747572,0.9805825242718447,1.0,1356.535609242957
binance/hyperliquid,KRX_OFFICIAL_AFTER_HOURS,526,27.051025158599693,27.38454951493224,39.62819215581723,44.1085212115523,54.121485462049186,8.0,1.5,99.44999999999997,0.75,1.0,1.0,36.84625133526461
binance/hyperliquid,PRE_CLOSE_BASELINE,160,20.799556977225546,23.045448025332895,34.548939481992164,36.605355075378576,37.16186324112492,2.0,1.0,1.0,1.0,1.0,1.0,30.68447822929818
binance/hyperliquid,US_AFTER_HOURS,720,20.763853075788777,20.291413423576046,41.30548864755614,47.02297728165201,67.70312597079342,28.0,1.0,29.799999999999983,1.0,1.0,1.0,327.5272510384842
binance/hyperliquid,US_REGULAR,1170,18.034557702978805,17.976265241234515,35.05325344049687,38.57972947801686,44.625952540116444,30.0,1.0,24.49999999999997,1.0,1.0,1.0,261.4904292284712
binance/okx,KRX_CLOSE_TRANSITION,320,13.267915453305438,8.80836589671092,46.503915678226015,58.05165870548009,84.9920066162326,10.0,2.0,19.699999999999985,1.0,1.0,1.0,170.5368580244043
binance/okx,KRX_FULLY_CLOSED_PRE_US,22460,17.124130980815966,11.852075615654472,52.879946679743526,117.58922636070683,246.1620959648114,597.0,1.0,276.39999999999884,0.897822445561139,0.9430485762144054,0.9865996649916248,8020.061780808682
binance/okx,KRX_HOLIDAY_OR_WEEKEND,17280,12.23217316159538,11.46177832709313,25.580319481862404,32.04630810621149,60.969214268555454,270.0,1.0,18.549999999999983,0.9925925925925926,1.0,1.0,1451.0187037520343
binance/okx,KRX_OFFICIAL_AFTER_HOURS,4365,14.089904067384456,8.998950122485104,42.76581030941324,93.12139357264468,131.31692775067546,93.0,1.0,898.8,0.8924731182795699,0.9032258064516129,1.0,1204.877597061011
