group_type,group_value,population,threshold_bps,event_count_total,event_count_completed,event_count_right_censored,event_count_data_gap_censored,censoring_ratio,min_minutes,p25_minutes,median_minutes,p75_minutes,p90_minutes,p95_minutes,p99_minutes,max_observed_minutes,count_le_5m,ratio_le_5m,count_le_15m,ratio_le_15m,count_le_30m,ratio_le_30m,count_le_60m,ratio_le_60m,count_le_240m,ratio_le_240m,count_gt_240m,ratio_gt_240m,count_gt_1440m,ratio_gt_1440m
PAIR_REGIME,binance/hyperliquid|GATE_REGIME_20260716_19,ALL_OBSERVED,20,1,1,0,0,0.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
PAIR_REGIME,binance/hyperliquid|POST_GATE_REGIME,ALL_OBSERVED,20,315,314,1,0,0.0031746031746031746,1.0,1.0,2.0,4.0,11.600000000000023,29.600000000000023,114.36000000000035,249.0,260,0.8253968253968254,290,0.9206349206349206,299,0.9492063492063492,308,0.9777777777777777,314,0.9968253968253968,1,0.0031746031746031746,0,0.0
PAIR_REGIME,binance/okx|GATE_REGIME_20260716_19,ALL_OBSERVED,20,249,249,0,0,0.0,1.0,1.0,2.0,6.0,17.0,31.599999999999994,75.28000000000014,222.0,186,0.7469879518072289,221,0.8875502008032129,235,0.9437751004016064,244,0.9799196787148594,249,1.0,0,0.0,0,0.0
PAIR_REGIME,binance/okx|POST_GATE_REGIME,ALL_OBSERVED,20,108,108,0,0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,10.649999999999963,14.0,105,0.9722222222222222,108,1.0,108,1.0,108,1.0,108,1.0,0,0.0,0,0.0
PAIR_REGIME,binance/okx|PRE_GATE_REGIME,ALL_OBSERVED,20,1700,1700,0,0,0.0,1.0,1.0,2.0,4.0,12.0,25.049999999999955,89.0,1617.0,1364,0.8023529411764706,1564,0.92,1630,0.9588235294117647,1669,0.981764705882353,1695,0.9970588235294118,5,0.0029411764705882353,1,0.000588235294117647
PAIR_REGIME,bitget/gate|GATE_REGIME_20260716_19,ALL_OBSERVED,20,85,85,0,0,0.0,1.0,1.0,2.0,5.0,17.200000000000017,23.0,269.95999999999503,1493.0,64,0.7529411764705882,75,0.8823529411764706,82,0.9647058823529412,84,0.9882352941176471,84,0.9882352941176471,1,0.011764705882352941,1,0.011764705882352941
PAIR_REGIME,bitget/gate|POST_GATE_REGIME,ALL_OBSERVED,20,137,137,0,0,0.0,1.0,1.0,1.0,2.0,4.0,5.199999999999989,14.639999999999986,23.0,130,0.948905109489051,136,0.9927007299270073,137,1.0,137,1.0,137,1.0,0,0.0,0,0.0
PAIR_REGIME,bitget/hyperliquid|GATE_REGIME_20260716_19,ALL_OBSERVED,20,1,1,0,0,0.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
PAIR_REGIME,bitget/hyperliquid|POST_GATE_REGIME,ALL_OBSERVED,20,187,186,1,0,0.0053475935828877,1.0,1.0,3.0,9.0,27.400000000000006,55.0,416.5399999999903,1109.0,119,0.6363636363636364,161,0.8609625668449198,169,0.9037433155080213,178,0.9518716577540107,184,0.983957219251337,3,0.016042780748663103,0,0.0
PAIR_REGIME,bitget/okx|GATE_REGIME_20260716_19,ALL_OBSERVED,20,146,146,0,0,0.0,1.0,1.0,3.0,11.0,64.0,274.25,479.0000000000002,605.0,94,0.6438356164383562,113,0.773972602739726,124,0.8493150684931506,131,0.8972602739726028,138,0.9452054794520548,8,0.0547945205479452,0,0.0
PAIR_REGIME,bitget/okx|POST_GATE_REGIME,ALL_OBSERVED,20,285,284,1,0,0.0035087719298245615,1.0,1.0,2.0,4.0,12.599999999999994,20.0,136.64000000000448,666.0,231,0.8105263157894737,266,0.9333333333333333,272,0.9543859649122807,279,0.9789473684210527,282,0.9894736842105263,3,0.010526315789473684,0,0.0
PAIR_REGIME,bitget/okx|PRE_GATE_REGIME,ALL_OBSERVED,20,1519,1519,0,0,0.0,1.0,1.0,2.0,6.0,22.200000000000045,55.09999999999991,486.81999999999994,3776.0,1113,0.7327188940092166,1325,0.8722843976300197,1397,0.9196840026333114,1450,0.9545753785385122,1484,0.9769585253456221,35,0.02304147465437788,6,0.003949967083607637
PAIR_REGIME,gate/hyperliquid|GATE_REGIME_20260716_19,ALL_OBSERVED,20,1,1,0,0,0.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
PAIR_REGIME,gate/hyperliquid|POST_GATE_REGIME,ALL_OBSERVED,20,261,260,1,0,0.0038314176245210726,1.0,1.0,3.0,7.0,29.0,69.0,189.59999999999968,366.0,177,0.6781609195402298,222,0.8505747126436781,235,0.9003831417624522,247,0.946360153256705,260,0.9961685823754789,1,0.0038314176245210726,0,0.0
PAIR_REGIME,gate/okx|GATE_REGIME_20260716_19,ALL_OBSERVED,20,38,38,0,0,0.0,1.0,2.0,11.0,54.25,154.90000000000035,248.54999999999967,1971.4500000000062,2865.0,15,0.39473684210526316,23,0.6052631578947368,26,0.6842105263157895,29,0.7631578947368421,36,0.9473684210526315,2,0.05263157894736842,1,0.02631578947368421
PAIR_REGIME,gate/okx|POST_GATE_REGIME,ALL_OBSERVED,20,296,296,0,0,0.0,1.0,1.0,1.5,4.0,8.5,17.25,34.150000000000034,71.0,255,0.8614864864864865,277,0.9358108108108109,291,0.9831081081081081,295,0.9966216216216216,296,1.0,0,0.0,0,0.0
PAIR_REGIME,hyperliquid/okx|GATE_REGIME_20260716_19,ALL_OBSERVED,20,13,13,0,0,0.0,1.0,1.0,1.0,3.0,12.600000000000001,156.9999999999995,329.7999999999996,373.0,10,0.7692307692307693,12,0.9230769230769231,12,0.9230769230769231,12,0.9230769230769231,12,0.9230769230769231,1,0.07692307692307693,0,0.0
PAIR_REGIME,hyperliquid/okx|POST_GATE_REGIME,ALL_OBSERVED,20,200,200,0,0,0.0,1.0,1.0,2.0,4.0,12.099999999999994,17.049999999999983,41.00999999999999,53.0,160,0.8,188,0.94,195,0.975,200,1.0,200,1.0,0,0.0,0,0.0
