pair,exchange_A,exchange_B,session,coverage_percent,comparison_quality,count,mean_bps,median_bps,std_bps,min_bps,max_bps,p01_bps,p05_bps,p25_bps,p75_bps,p95_bps,p99_bps,mean_abs_bps,p95_abs_bps,p99_abs_bps,max_abs_bps,percent_A_higher,percent_B_higher
bitget/hyperliquid,bitget,hyperliquid,AFTER_CLOSE_ALL,70.86834733893558,historical_proxy_spread_bps,3795,39.94171405418977,40.45746849590996,12.280953030773164,3.256254722613854,98.95500467687302,9.239083765099434,19.822836911833406,31.23096216294614,47.90733886065385,59.850851311904215,67.84668883424929,39.94171405418977,59.850851311904215,67.84668883424929,98.95500467687302,100.0,0.0
bitget/hyperliquid,bitget,hyperliquid,KRX_OFFICIAL_AFTER_HOURS,10.457516339869281,historical_proxy_spread_bps,560,38.40112721706473,38.45781141561298,7.803123589663898,17.973167492424956,58.81168177240831,21.722749421517705,24.279830541957693,34.00246811280039,43.154239896276266,52.50417717929881,55.675724254176885,38.40112721706473,52.50417717929881,55.675724254176885,58.81168177240831,100.0,0.0
bitget/hyperliquid,bitget,hyperliquid,KRX_FULLY_CLOSED,59.66386554621849,historical_proxy_spread_bps,3195,40.28077499857744,41.15307601470617,12.90490534708854,3.256254722613854,98.95500467687302,8.842470639634119,18.75107585191747,30.94803149816652,48.83770891352164,60.90773528238086,68.79533605617736,40.28077499857744,60.90773528238086,68.79533605617736,98.95500467687302,100.0,0.0
bitget/okx,bitget,okx,ALL,100.0,mark_spread_bps,61995,37.77291145994717,33.557244538117175,24.542603885842343,-66.32245596852901,291.3502492644481,-3.9435246339364243,8.283742517975256,23.025150949148966,46.092252369172854,86.13941237329377,124.30101112690917,37.99849963250453,86.13941237329377,124.30101112690917,291.3502492644481,98.26760222598597,1.714654407613517
bitget/okx,bitget,okx,PRE_CLOSE_BASELINE,2.064682635696427,mark_spread_bps,1280,28.11182404104291,24.12115391741819,23.145632862488647,-19.475012302762895,115.60333411233093,-12.731098849164365,-5.22675971902597,13.849683018766688,37.125184415455976,75.70727986701286,96.06120046257251,29.327918889716763,75.70727986701286,96.06120046257251,115.60333411233093,91.015625,8.90625
bitget/okx,bitget,okx,AFTER_CLOSE_ALL,52.56069037825631,mark_spread_bps,32585,41.86582465005886,35.17268080135901,26.186207766048764,-33.44218571013422,183.58735357097999,2.0291497475734834,11.045229850827532,24.68748925177049,52.23553335739442,94.22806624128984,128.1775839966698,41.93065046135624,94.22806624128984,128.1775839966698,183.58735357097999,99.312567132116,0.6751572809574957
bitget/okx,bitget,okx,KRX_OFFICIAL_AFTER_HOURS,7.040890394386644,mark_spread_bps,4365,33.16410996383103,27.59345640890904,25.024303493119714,-18.210252795818242,149.29472782795574,-5.842244763594624,2.751077748802064,17.12070834175232,43.50830496762504,87.5951749347843,118.19344074654802,33.47852211691129,87.5951749347843,118.19344074654802,149.29472782795574,96.76975945017182,3.2073310423825885
bitget/okx,bitget,okx,KRX_FULLY_CLOSED,45.00362932494556,mark_spread_bps,27900,43.39259963121273,36.137160756409514,26.0780816618956,-18.108213455937474,183.58735357097999,5.804397797840695,13.437502499393288,26.151602301658507,53.86332090685853,95.14184781114258,129.68738707942978,43.40599614334216,95.14184781114258,129.68738707942978,183.58735357097999,99.79569892473118,0.19713261648745523
bitget/okx,bitget,okx,KRX_HOLIDAY_OR_WEEKEND,27.873215581901768,mark_spread_bps,17280,34.360225733033616,34.293505068981446,11.303902958280442,-13.017820841470257,83.20952660680302,12.078075650776249,16.982682298737252,25.408964852672337,42.247834077825416,53.492342026234496,61.627399026145135,34.36386539015508,53.492342026234496,61.627399026145135,83.20952660680302,99.98263888888889,0.017361111111111112
gate/hyperliquid,gate,hyperliquid,ALL,100.0,historical_proxy_spread_bps,5356,29.99925622108703,27.359882839860607,15.466983453357754,-6.314626253058288,100.24007075769585,3.3399308239445022,10.418760977260593,20.507667542110266,35.70265012638296,65.97728938389477,80.57601965427784,30.01031185890897,65.97728938389477,80.57601965427784,100.24007075769585,99.70126960418223,0.22404779686333084
gate/hyperliquid,gate,hyperliquid,PRE_CLOSE_BASELINE,2.9873039581777445,historical_proxy_spread_bps,160,27.136416454031426,26.545332463085696,6.940196359847159,8.012820512820513,50.36091992613731,12.230935852929568,16.635296572685924,22.9881887720271,30.411683824574144,37.148230228675594,47.660367473123436,27.136416454031426,37.148230228675594,47.660367473123436,50.36091992613731,100.0,0.0
