pair,long_exchange,short_exchange,funding_time,long_rate,short_rate,net_rate,net_cashflow_10000,cumulative_cashflow,long_interval_hours,short_interval_hours,session,regime,date,week
long binance / short okx,binance,okx,2026-07-09 08:00:00.001000+00:00,0.00473872,0.0,-0.00473872,-47.3872,388.2734311093051,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-09 00:00:00+00:00,2026-07-06/2026-07-12
long okx / short binance,okx,binance,2026-07-09 08:00:00.001000+00:00,0.0,0.00473872,0.00473872,47.3872,-388.2734311093051,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-09 00:00:00+00:00,2026-07-06/2026-07-12
long bitget / short binance,bitget,binance,2026-07-09 08:00:00.001000+00:00,0.0,0.00473872,0.00473872,47.3872,74.7381,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-09 00:00:00+00:00,2026-07-06/2026-07-12
long binance / short bitget,binance,bitget,2026-07-09 08:00:00.001000+00:00,0.00473872,0.0,-0.00473872,-47.3872,-74.7381,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-09 00:00:00+00:00,2026-07-06/2026-07-12
long okx / short binance,okx,binance,2026-06-10 08:00:00.001000+00:00,0.0,0.00463966,0.00463966,46.39660000000001,46.39660000000001,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-10 00:00:00+00:00,2026-06-08/2026-06-14
long bitget / short binance,bitget,binance,2026-06-10 08:00:00.001000+00:00,0.0,0.00463966,0.00463966,46.39660000000001,46.39660000000001,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-10 00:00:00+00:00,2026-06-08/2026-06-14
long binance / short okx,binance,okx,2026-06-10 08:00:00.001000+00:00,0.00463966,0.0,-0.00463966,-46.39660000000001,-46.39660000000001,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-10 00:00:00+00:00,2026-06-08/2026-06-14
long binance / short bitget,binance,bitget,2026-06-10 08:00:00.001000+00:00,0.00463966,0.0,-0.00463966,-46.39660000000001,-46.39660000000001,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-10 00:00:00+00:00,2026-06-08/2026-06-14
long binance / short bitget,binance,bitget,2026-06-26 08:00:00.002000+00:00,0.00458019,0.0,-0.00458019,-45.801899999999996,-173.50560000000002,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-26 00:00:00+00:00,2026-06-22/2026-06-28
long okx / short binance,okx,binance,2026-06-26 08:00:00.002000+00:00,0.0,0.00458019,0.00458019,45.801899999999996,-220.261195236939,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-26 00:00:00+00:00,2026-06-22/2026-06-28
long bitget / short binance,bitget,binance,2026-06-26 08:00:00.002000+00:00,0.0,0.00458019,0.00458019,45.801899999999996,173.50560000000002,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-26 00:00:00+00:00,2026-06-22/2026-06-28
long binance / short okx,binance,okx,2026-06-26 08:00:00.002000+00:00,0.00458019,0.0,-0.00458019,-45.801899999999996,220.261195236939,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-26 00:00:00+00:00,2026-06-22/2026-06-28
long okx / short bitget,okx,bitget,2026-06-25 00:00:00+00:00,0.0050871457699901,0.000707,-0.0043801457699901,-43.80145769990099,-458.21203834850405,8.0,8.0,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-25 00:00:00+00:00,2026-06-22/2026-06-28
